      1      1   2574    5.9809      127 118   1 126   3 115      0.0000
  2112    0.000    0.000    -19.4774  0.940    -7.45     1.37 ******** 22050.00
  2212    0.000    0.000     19.4774  0.940     4.96     1.94 22024.42 22050.00
  2112    0.000    0.000    -19.4774  0.940    -2.31     7.15 ******** 22050.00
  2212    0.000    0.000    -19.4774  0.940    -5.47    -3.46 ******** 22050.00
  2112    0.000    0.000    -19.4774  0.940    -5.23    -0.83 ******** 22050.00
  2112    0.000    0.000     19.4774  0.940     4.82    -4.47 22024.42 22050.00
  2112    0.000    0.000     19.4774  0.940     3.73    -6.17 22024.42 22050.00
  2212    0.000    0.000     19.4774  0.940     3.35    -4.94 22024.42 22050.00
  2112    0.000    0.000     19.4774  0.940     4.04     3.38 22024.42 22050.00
  2212    0.000    0.000     19.4774  0.940     6.22     0.77 22024.42 22050.00
  2112    0.000    0.000    -19.4774  0.940    -2.12     5.05 ******** 22050.00
  2112    0.000    0.000    -19.4774  0.940    -8.22    -1.84 ******** 22050.00
  2112    0.000    0.000     19.4774  0.940     4.85    -5.36 22024.42 22050.00
  2112    0.000    0.000     19.4774  0.940     7.13    -0.52 22024.42 22050.00
  2212    0.000    0.000    -19.4774  0.940    -2.55     5.77 ******** 22050.00
  2112    0.000    0.000    -19.4774  0.940   -10.41    -0.81 ******** 22050.00
  2212    0.000    0.000     19.4774  0.940     6.91     5.40 22024.42 22050.00
  2212    0.000    0.000    -19.4774  0.940    -5.94     0.84 ******** 22050.00
  2112    0.000    0.000    -19.4774  0.940    -8.28    -1.12 ******** 22050.00
  2112    0.000    0.000     19.4774  0.940     9.23     0.79 22024.42 22050.00
  2112    0.000    0.000    -19.4774  0.940    -4.21    -5.05 ******** 22050.00
  2212    0.000    0.000     19.4774  0.940     4.68     1.54 22024.42 22050.00
  2212    0.000    0.000    -19.4774  0.940    -8.55     3.56 ******** 22050.00
  2212    0.000    0.000     19.4774  0.940     2.49     5.52 22024.42 22050.00
  2112    0.000    0.000     19.4774  0.940     3.79    -3.73 22024.42 22050.00
  2212    0.000    0.000    -19.4774  0.940    -6.48     1.55 ******** 22050.00
  2212    0.000    0.000     19.4774  0.940     4.72     5.93 22024.42 22050.00
  2112    0.000    0.000    -19.4774  0.940    -8.52    -3.00 ******** 22050.00
  2212    0.000    0.000     19.4774  0.940     5.93     1.48 22024.42 22050.00
  2112    0.000    0.000    -19.4774  0.940    -3.68     5.69 ******** 22050.00
  2112    0.000    0.000    -19.4774  0.940    -7.01    -1.87 ******** 22050.00
  2112    0.000    0.000    -19.4774  0.940    -5.96     1.58 ******** 22050.00
  2212    0.000    0.000     19.4774  0.940     5.45    -5.04 22024.42 22050.00
  2112    0.000    0.000    -19.4774  0.940    -0.90    -7.20 ******** 22050.00
  2112    0.000    0.000     19.4774  0.940     4.05    -4.31 22024.42 22050.00
  2112    0.000    0.000     19.4774  0.940     2.60     6.02 22024.42 22050.00
  2112    0.000    0.000     19.4774  0.940     7.35     1.25 22024.42 22050.00
  2112    0.000    0.000     19.4774  0.940     5.19    -4.73 22024.42 22050.00
  2212    0.000    0.000    -19.4774  0.940    -7.23    -0.66 ******** 22050.00
  2112    0.000    0.000    -19.4774  0.940    -7.39     2.68 ******** 22050.00
  2112    0.000    0.000    -19.4774  0.940    -6.92    -1.62 ******** 22050.00
  2212    0.000    0.000    -19.4774  0.940    -8.27     1.04 ******** 22050.00
  2212    0.000    0.000    -19.4774  0.940    -6.13    -1.99 ******** 22050.00
  2112    0.000    0.000    -19.4774  0.940    -7.50     0.21 ******** 22050.00
  2212    0.000    0.000    -19.4774  0.940    -7.46    -3.07 ******** 22050.00
  2212    0.000    0.000     19.4774  0.940     6.91     1.94 22024.42 22050.00
  2112    0.000    0.000     19.4774  0.940     7.05    -3.08 22024.42 22050.00
  2112    0.000    0.000     19.4774  0.940     8.54    -2.24 22024.42 22050.00
  2112    0.000    0.000    -19.4774  0.940    -6.08     6.05 ******** 22050.00
  2112    0.000    0.000    -19.4774  0.940    -0.92     5.13 ******** 22050.00
  2212    0.000    0.000    -19.4774  0.940    -7.40     0.25 ******** 22050.00
  2112    0.000    0.000     19.4774  0.940     8.44     0.81 22024.42 22050.00
  2212    0.000    0.000    -19.4774  0.940    -3.16    -6.63 ******** 22050.00
  2112    0.000    0.000     19.4774  0.940     8.85    -0.25 22024.42 22050.00
  2112    0.000    0.000     19.4774  0.940     5.10    -4.57 22024.42 22050.00
  2212    0.000    0.000    -19.4774  0.940    -1.35     5.96 ******** 22050.00
  2212    0.000    0.000    -19.4774  0.940    -6.79    -2.75 ******** 22050.00
  2112    0.000    0.000     19.4774  0.940     1.45     6.91 22024.42 22050.00
  2112    0.000    0.000    -19.4774  0.940    -6.94    -1.62 ******** 22050.00
   211    0.027    0.084     -3.5086  0.140 0.12E+03 0.48E+03 -.21E+05 0.21E+05
  2112    0.000    0.000    -19.4774  0.940    -5.41    -3.25 ******** 22050.00
  2212    0.000    0.000    -19.4774  0.940    -7.60    -3.99 ******** 22050.00
  2212    0.000    0.000     19.4774  0.940     7.48     4.27 22024.42 22050.00
   211   -0.078   -0.277     -1.4309  0.140 -.10E+04 -.37E+04 -.19E+05 0.20E+05
   111   -0.343   -0.325     -0.2329  0.135 -.11E+05 -.10E+05 -.73E+04 0.17E+05
   111   -0.194    0.821      0.6021  0.135 -.37E+04 0.16E+05 0.12E+05 0.21E+05
